period_end,updated_on,label,codetype,code,CPI,CPI_YoY,weight,lower_label,region
2025-07-31,2025-08-12,"Cloth for Coat, Trousers, Suit, etc. (metre)",item_code,3.1.01.3.1.04.X,187.4,2.74,0.42346,"cloth for coat, trousers, suit, etc. (metre)",
2025-07-31,2025-08-12,"Cloth for Shirt, Pyjama, Kurta, Salwar, etc. (metre)",item_code,3.1.01.3.1.03.X,211.0,2.88,0.67661,"cloth for shirt, pyjama, kurta, salwar, etc. (metre)",
2025-07-31,2025-08-12,"Cloth for Upholstery, Curtains, Tablecloth, etc. (metre)",item_code,6.1.01.2.1.04.X,185.1,3.41,0.00187,"cloth for upholstery, curtains, tablecloth, etc. (metre)",
2025-07-31,2025-08-12,Clothing (first-hand): Other,item_code,3.1.01.3.1.06.0,180.8,1.57,0.05151,clothing (first-hand): other,
2025-07-31,2025-08-12,Clothing: Second-hand,item_code,3.1.01.3.1.07.0,171.5,4.51,0.01268,clothing: second-hand,
2025-07-31,2025-08-12,Club Fees,item_code,6.1.04.2.2.06.0,148.8,2.27,0.00146,club fees,
2025-07-31,2025-08-12,Coal,item_code,5.1.01.4.1.03.0,187.8,2.62,0.03865,coal,
2025-07-31,2025-08-12,"Coat, Jacket, Sweater, Windcheater (no.)",item_code,3.1.01.2.1.01.X,182.1,1.96,0.19627,"coat, jacket, sweater, windcheater (no.)",
2025-07-31,2025-08-12,Coconut: Copra,item_code,1.1.06.2.1.01.0,298.2,60.75,0.10068,coconut: copra,
2025-07-31,2025-08-12,Coconut (no.),item_code,1.1.06.1.1.05.0,361.2,59.26,0.26253,coconut (no.),
2025-07-31,2025-08-12,Coconut Oil,item_code,1.1.05.1.1.03.0,502.7,131.77,0.07884,coconut oil,
2025-07-31,2025-08-12,Coffee: Cups (no.),item_code,1.1.12.1.1.02.0,207.4,6.63,0.01961,coffee: cups (no.),
2025-07-31,2025-08-12,Coffee: Powder (gm),item_code,1.2.11.1.1.02.0,245.0,24.81,0.0587,coffee: powder (gm),
2025-07-31,2025-08-12,"Coir, Rope, etc.",item_code,6.1.01.6.1.02.0,203.2,5.28,0.0038,"coir, rope, etc.",
2025-07-31,2025-08-12,Coke,item_code,5.1.01.4.1.01.0,149.7,2.96,0.01073,coke,
2025-07-31,2025-08-12,Cold Beverages: Bottled/canned (litre),item_code,1.2.11.2.1.02.X,162.4,0.93,0.0885,cold beverages: bottled/canned (litre),
2025-07-31,2025-08-12,Cooked Meals Purchased (no.),item_code,1.1.12.2.1.01.0,226.2,5.16,2.42472,cooked meals purchased (no.),
2025-07-31,2025-08-12,"Cooked Snacks Purchased [samosa, Puri, Paratha, Burger, Chowmein, Idli, Dosa, Vada, Chops, Pakoras, Pao Bhaji, Etc.]",item_code,1.1.12.3.1.01.X,205.7,4.42,1.16057,"cooked snacks purchased [samosa, puri, paratha, burger, chowmein, idli, dosa, vada, chops, pakoras, pao bhaji, etc.]",
2025-07-31,2025-08-12,Country Liquor (litre),item_code,2.1.01.1.1.01.0,209.3,4.65,0.35366,country liquor (litre),
2025-07-31,2025-08-12,Curd,item_code,1.1.04.2.1.03.0,192.8,2.23,0.09422,curd,
