dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,1.345751506061461,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Tobacco][CPI],[Tobacco],"{""Tobacco"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,210.46689356431932,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Tobacco][CPI],[Tobacco],"{""Tobacco"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,211.61470959128457,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Tobacco][CPI],[Tobacco],"{""Tobacco"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.440542524923501,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Alcohol][CPI],[Alcohol],"{""Alcohol"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,210.76078837748412,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Alcohol][CPI],[Alcohol],"{""Alcohol"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,209.5245677203423,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Alcohol][CPI],[Alcohol],"{""Alcohol"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.67,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Apparel][CPI],[Apparel],"{""Apparel"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.55,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Apparel][CPI],[Apparel],"{""Apparel"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.5,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Apparel][CPI],[Apparel],"{""Apparel"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.16,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Housing][CPI],[Housing],"{""Housing"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.18,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Housing][CPI],[Housing],"{""Housing"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.17,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Housing][CPI],[Housing],"{""Housing"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.84,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Energy_Household][IN][CPI],[Energy_Household],"{""Energy_Household"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.55,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Energy_Household][IN][CPI],[Energy_Household],"{""Energy_Household"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.67,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Energy_Household][IN][CPI],[Energy_Household],"{""Energy_Household"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,5.17,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Miscellaneous][CPI],[Miscellaneous],"{""Miscellaneous"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,5.49,,2025-06-30,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Miscellaneous][CPI],[Miscellaneous],"{""Miscellaneous"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,5.01,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Miscellaneous][CPI],[Miscellaneous],"{""Miscellaneous"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.34,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Healthcare][CPI],[Healthcare],"{""Healthcare"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.38,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Healthcare][CPI],[Healthcare],"{""Healthcare"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.57,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Healthcare][CPI],[Healthcare],"{""Healthcare"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.12,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Education][IN][CPI],[Education],"{""Education"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.37,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Education][IN][CPI],[Education],"{""Education"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,4.0,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Education][IN][CPI],[Education],"{""Education"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.51,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Household_Goods_And_Services][CPI],[Household_Goods_And_Services],"{""Household_Goods_And_Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.56,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Household_Goods_And_Services][CPI],[Household_Goods_And_Services],"{""Household_Goods_And_Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.61,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Household_Goods_And_Services][CPI],[Household_Goods_And_Services],"{""Household_Goods_And_Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.586033107266644,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Services][CPI],[Transport Services],"{""Transport Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,198.87278422667367,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Services][CPI],[Transport Services],"{""Transport Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,199.33084512240043,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Services][CPI],[Transport Services],"{""Transport Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.57773301528168,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Equipment][CPI],[Transport Equipment],"{""Transport Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,184.79320282101042,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Equipment][CPI],[Transport Equipment],"{""Transport Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,184.9396436789786,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Transport Equipment][CPI],[Transport Equipment],"{""Transport Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,0.3588049973851355,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Energy_Transport][CPI],[Energy_Transport],"{""Energy_Transport"": ""ConsumptionCategory""}"
