dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories,updated_on
CPI,CPI,YoY,IN,1.25,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Any Other Personal Goods][YoY][IN],[Any Other Personal Goods],"{""Any Other Personal Goods"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,19.41,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Apple][YoY][IN],[Apple],"{""Apple"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-28.03,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Arhar, Tur][YoY][IN]","[Arhar, Tur]","{""Arhar, Tur"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.56,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Baby Food][YoY][IN],[Baby Food],"{""Baby Food"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.1,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Bajra & its Products][YoY][IN],[Bajra & its Products],"{""Bajra & its Products"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,8.46,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Banana (no.)][YoY][IN],[Banana (no.)],"{""Banana (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.51,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)][CPI][YoY][IN]","[Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)]","{""Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.04,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[Barber, Beautician, etc.][CPI][YoY][IN]","[Barber, Beautician, etc.]","{""Barber, Beautician, etc."": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.84,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Bathroom and Sanitary Equipment],[Bathroom and Sanitary Equipment],"{""Bathroom and Sanitary Equipment"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-5.68,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[IN][CPI][YoY][Beans, Barbati]","[Beans, Barbati]","{""Beans, Barbati"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.33,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Bedding: Others][CPI][YoY][IN],[Bedding: Others],"{""Bedding: Others"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.53,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[IN][CPI][YoY][Bed Sheet, Bed Cover (no.)]","[Bed Sheet, Bed Cover (no.)]","{""Bed Sheet, Bed Cover (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.64,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Bedstead][YoY][IN],[Bedstead],"{""Bedstead"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.87,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Beef/ Buffalo Meat][YoY][IN],[Beef/ Buffalo Meat],"{""Beef/ Buffalo Meat"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,6.35,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Beer (litre)][YoY][IN],[Beer (litre)],"{""Beer (litre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.67,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Besan][YoY][IN],[Besan],"{""Besan"": ""ConsumptionItem""}",2025-08-12
