period_end|group_code|weight|CPI|CPI_YoY|item_code|CPI_Past_Year|basket_weights
2025-06-30|1.|45.86334000000001|198.0|-0.2||198.39679358717436|0.9796921991121037
2025-06-30||0.35366|207.6|4.06|2.1.01.1.1.01.0|199.5002882952143|0.00755457284920781
2025-06-30||0.40344|209.8|3.5|2.1.01.1.1.02.0|202.70531400966186|0.008617929283165751
2025-06-30||0.05788|224.9|-6.02|2.1.01.1.1.03.0|239.3062353692275|0.0012363814864902677
2025-06-30||0.05932|215.4|6.21|2.1.01.1.1.04.0|202.80576216928725|0.0012671414958293483
2025-06-30||0.07639|204.0|8.4|2.1.01.1.1.05.0|188.19188191881918|0.001631775773203033
